$0, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt
1, 0.93975, 0.924687, 0.00526588, 0.528782, 0.323328, 0.0196657, 0.255462, 0.39946, 0.00783255
2, 0.743634, 0.698257, 0.00401221, 0.396107, 0.24797, 0.0147393, 0.194829, 0.29932, 0.00588117
3, 0.731342, 0.747536, 0.00400601, 0.412413, 0.251086, 0.0153106, 0.19547, 0.310647, 0.00608765
4, 0.750217, 0.745995, 0.00423966, 0.424652, 0.266248, 0.0158829, 0.210257, 0.319926, 0.00626217
5, 0.807777, 0.753784, 0.00433603, 0.426884, 0.268548, 0.0158865, 0.210648, 0.322521, 0.00633942
6, 0.798006, 0.819687, 0.00434935, 0.450252, 0.274371, 0.0166982, 0.212571, 0.338836, 0.00663925
7, 0.805947, 0.802913, 0.00456086, 0.45653, 0.288095, 0.0171093, 0.227504, 0.343785, 0.00672732
8, 0.861083, 0.799122, 0.00460074, 0.451833, 0.285519, 0.0168171, 0.22361, 0.3413, 0.00671079
9, 0.83917, 0.864767, 0.00455794, 0.473652, 0.288871, 0.0175519, 0.223025, 0.356206, 0.00697896
10, 0.840009, 0.837861, 0.00475771, 0.476017, 0.301755, 0.0178656, 0.23829, 0.358351, 0.00701107
11, 0.894908, 0.827494, 0.00476638, 0.467346, 0.29623, 0.0173957, 0.231735, 0.35296, 0.00694155
12, 0.865766, 0.894127, 0.00469116, 0.488787, 0.298298, 0.0181019, 0.229733, 0.367409, 0.00719801
13, 0.862543, 0.861057, 0.00488822, 0.488912, 0.310943, 0.0183694, 0.245546, 0.367983, 0.00719861
14, 0.918073, 0.846738, 0.00487875, 0.477823, 0.303538, 0.0177865, 0.237254, 0.360826, 0.00709736
15, 0.884268, 0.91467, 0.00478308, 0.499324, 0.304887, 0.0184837, 0.234378, 0.375194, 0.00735019
16, 0.87851, 0.877528, 0.00498082, 0.498049, 0.317531, 0.0187281, 0.25075, 0.374803, 0.00733137
17, 0.934916, 0.860634, 0.00495988, 0.485363, 0.308838, 0.0180677, 0.241243, 0.366483, 0.00720945
18, 0.897877, 0.929843, 0.00485028, 0.507079, 0.309751, 0.0187642, 0.237781, 0.380915, 0.00746199
19, 0.89041, 0.889826, 0.00504991, 0.504858, 0.322486, 0.0189965, 0.254664, 0.379884, 0.00743025
20, 0.947717, 0.871138, 0.0050212, 0.491048, 0.312858, 0.0182798, 0.24426, 0.370745, 0.00729394
