$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wCGIDrive
1, 0.0602504, 0.0602504, 0.0526588, 0.00602504, 0.0602504, 0.0192801, 1.02185, 0.0165086, 0.0783255, 1, 0.93975, 0.924687, 0.00526588, 0.528782, 0.323328, 0.0196657, 0.255462, 0.39946, 0.00783255, 1, 0, 0, 0
2, 0.046092, 0.045054, 0.0401221, 0.00450435, 0.045962, 0.0144471, 0.778749, 0.0123701, 0.0588117, 2, 0.743634, 0.698257, 0.00401221, 0.396107, 0.24797, 0.0147393, 0.194829, 0.29932, 0.00588117, 2, 26.2578, 0.435295, 0
3, 0.0466131, 0.046877, 0.0400601, 0.00468998, 0.045739, 0.0149756, 0.775876, 0.0128382, 0.0608765, 3, 0.731342, 0.747536, 0.00400601, 0.412413, 0.251086, 0.0153106, 0.19547, 0.310647, 0.00608765, 3, 47.67, 0, 0
4, 0.0474185, 0.0483404, 0.0423966, 0.00483275, 0.048561, 0.0154628, 0.824445, 0.0132217, 0.0626217, 4, 0.750217, 0.745995, 0.00423966, 0.424652, 0.266248, 0.0158829, 0.210257, 0.319926, 0.00626217, 4, 67.534, 0.0861212, 0.0989389
5, 0.0498617, 0.0485322, 0.0433603, 0.00485159, 0.0496791, 0.0155705, 0.841777, 0.0133289, 0.0633942, 5, 0.807777, 0.753784, 0.00433603, 0.426884, 0.268548, 0.0158865, 0.210648, 0.322521, 0.00633942, 5, 83.0771, 0.473373, 0
6, 0.050773, 0.0511363, 0.0434935, 0.00511715, 0.0496357, 0.0163191, 0.841428, 0.0140032, 0.0663925, 6, 0.798006, 0.819687, 0.00434935, 0.450252, 0.274371, 0.0166982, 0.212571, 0.338836, 0.00663925, 6, 101.456, 0, 0
7, 0.050805, 0.0519541, 0.0456086, 0.0051938, 0.052257, 0.0166271, 0.887712, 0.0142077, 0.0672732, 7, 0.805947, 0.802913, 0.00456086, 0.45653, 0.288095, 0.0171093, 0.227504, 0.343785, 0.00672732, 7, 120.918, 0.0998522, 0.123555
8, 0.0529565, 0.0513462, 0.0460074, 0.00513232, 0.0527184, 0.0164814, 0.893371, 0.014105, 0.0671079, 8, 0.861083, 0.799122, 0.00460074, 0.451833, 0.285519, 0.0168171, 0.22361, 0.3413, 0.00671079, 8, 133.807, 0.50556, 0
9, 0.0533243, 0.0537622, 0.0455794, 0.00538072, 0.0519992, 0.0171427, 0.881007, 0.014721, 0.0697896, 9, 0.83917, 0.864767, 0.00455794, 0.473652, 0.288871, 0.0175519, 0.223025, 0.356206, 0.00697896, 9, 152.041, 0, 0
10, 0.0528549, 0.0541605, 0.0475771, 0.0054142, 0.0545253, 0.0173404, 0.926663, 0.0148097, 0.0701107, 10, 0.840009, 0.837861, 0.00475771, 0.476017, 0.301755, 0.0178656, 0.23829, 0.358351, 0.00701107, 10, 172.304, 0.109081, 0.140557
