$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wSendStatic
1, 0.0390665, 0.0390665, 0.0341441, 0.00390665, 0.0390665, 0.0125013, 0.662567, 0.0107042, 0.0507864, 1, 0.609335, 0.599569, 0.00341441, 0.342863, 0.209646, 0.0127513, 0.165642, 0.259011, 0.00507864, 1, 0, 0, 0
2, 0.0448788, 0.0448788, 0.039224, 0.00448788, 0.0448788, 0.0143612, 0.761142, 0.0122968, 0.0583421, 2, 0.699993, 0.688773, 0.0039224, 0.393874, 0.240837, 0.0146484, 0.190286, 0.297546, 0.00583421, 2, 18.9671, 0, 0
3, 0.0458057, 0.0458057, 0.0400342, 0.00458057, 0.0458057, 0.0146578, 0.776864, 0.0125508, 0.0595473, 3, 0.71445, 0.702999, 0.00400342, 0.402009, 0.245812, 0.014951, 0.194216, 0.303692, 0.00595473, 3, 39.8966, 0, 0
4, 0.0476785, 0.0476783, 0.0416708, 0.00476782, 0.0476782, 0.015257, 0.808621, 0.0130638, 0.0619815, 4, 0.74366, 0.731739, 0.00416708, 0.418443, 0.25586, 0.0155621, 0.202155, 0.316106, 0.00619815, 4, 58.2979, 0, 0
5, 0.0493406, 0.0493405, 0.0431236, 0.00493405, 0.0493405, 0.0157889, 0.836814, 0.0135193, 0.0641425, 5, 0.769584, 0.757249, 0.00431236, 0.433032, 0.264781, 0.0161047, 0.209204, 0.327127, 0.00641425, 5, 75.7391, 0, 0
6, 0.0507295, 0.0507294, 0.0443374, 0.00507293, 0.0507293, 0.0162333, 0.860368, 0.0138998, 0.065948, 6, 0.791248, 0.778565, 0.00443374, 0.445221, 0.272234, 0.016558, 0.215092, 0.336335, 0.0065948, 6, 92.677, 0, 0
7, 0.0515636, 0.0500851, 0.0448181, 0.00500656, 0.0513529, 0.0160732, 0.870183, 0.0137573, 0.0654441, 7, 0.837011, 0.778749, 0.00448181, 0.440648, 0.277876, 0.0164, 0.217783, 0.332887, 0.00654441, 7, 109.522, 0.490965, 0.00245291
8, 0.0521745, 0.0525771, 0.044641, 0.00526173, 0.0509363, 0.0167713, 0.863226, 0.014397, 0.0682562, 8, 0.820586, 0.844358, 0.0044641, 0.463082, 0.282307, 0.0171666, 0.218313, 0.348366, 0.00682562, 8, 127.604, 0, 0.00353184
9, 0.0519305, 0.0531625, 0.046685, 0.00531444, 0.053497, 0.0170168, 0.908981, 0.014537, 0.068825, 9, 0.824605, 0.82203, 0.0046685, 0.467194, 0.295526, 0.0175218, 0.23337, 0.351754, 0.0068825, 9, 147.43, 0.104741, 0
10, 0.0540076, 0.052293, 0.0469038, 0.00522673, 0.0537478, 0.0167882, 0.910848, 0.0143662, 0.068359, 10, 0.879329, 0.814472, 0.00469038, 0.460238, 0.291308, 0.0171306, 0.228005, 0.347621, 0.0068359, 10, 158.877, 0.516621, 0.00289479
11, 0.0542085, 0.0546752, 0.0462991, 0.00547242, 0.0528139, 0.0174283, 0.894619, 0.0149706, 0.0709709, 11, 0.853492, 0.880553, 0.00462991, 0.481804, 0.293943, 0.0178487, 0.226649, 0.362246, 0.00709709, 11, 177.176, 0, 0.003906
12, 0.0535812, 0.0549453, 0.0482782, 0.00549254, 0.0553338, 0.0175942, 0.940569, 0.0150236, 0.0711181, 12, 0.852136, 0.850329, 0.00482782, 0.482949, 0.306669, 0.0181356, 0.24217, 0.363527, 0.00711181, 12, 198.056, 0.112483, 0
13, 0.0556032, 0.05372, 0.0482609, 0.00536895, 0.0553062, 0.0172509, 0.937327, 0.0147599, 0.0702448, 13, 0.907181, 0.837714, 0.00482609, 0.472918, 0.30011, 0.0176035, 0.234667, 0.357146, 0.00702448, 13, 207.484, 0.533664, 0.00321531
14, 0.055567, 0.0560808, 0.0473998, 0.00561361, 0.0540591, 0.0178665, 0.915366, 0.0153546, 0.0727873, 14, 0.875564, 0.904993, 0.00473998, 0.494369, 0.301786, 0.0183046, 0.232201, 0.371537, 0.00727873, 14, 226.191, 0, 0.00417592
