$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wSendStatic
1, 0.0641132, 0.0641132, 0.056035, 0.00641132, 0.0641132, 0.0205162, 1.08736, 0.017567, 0.0833472, 1, 1, 0.983972, 0.0056035, 0.562684, 0.344057, 0.0209266, 0.27184, 0.425071, 0.00833472, 1, 0, 0, 0
2, 0.0459484, 0.0459484, 0.0401589, 0.00459484, 0.0459484, 0.0147034, 0.779283, 0.0125898, 0.0597327, 2, 0.716676, 0.705189, 0.00401589, 0.403261, 0.246577, 0.0149975, 0.194821, 0.304637, 0.00597327, 2, 27.9297, 0, 0
3, 0.0471275, 0.0471274, 0.0411893, 0.00471274, 0.0471274, 0.0150807, 0.799278, 0.0129129, 0.0612651, 3, 0.735066, 0.723284, 0.00411893, 0.413609, 0.252904, 0.0153823, 0.199819, 0.312454, 0.00612651, 3, 48.0598, 0, 0
4, 0.048767, 0.048767, 0.0426223, 0.00487669, 0.0487669, 0.0156054, 0.827085, 0.0133621, 0.0633967, 4, 0.760638, 0.748446, 0.00426223, 0.427998, 0.261703, 0.0159175, 0.206771, 0.323324, 0.00633967, 4, 66.4253, 0, 0
5, 0.0502237, 0.0502237, 0.0438955, 0.00502237, 0.0502237, 0.0160715, 0.851792, 0.0137613, 0.0652906, 5, 0.783359, 0.770803, 0.00438955, 0.440783, 0.26952, 0.016393, 0.212948, 0.332983, 0.00652906, 5, 83.9572, 0, 0
6, 0.051457, 0.051457, 0.0449734, 0.00514569, 0.0514569, 0.0164662, 0.872709, 0.0140992, 0.0668939, 6, 0.802595, 0.789731, 0.00449734, 0.451607, 0.276139, 0.0167955, 0.218177, 0.341159, 0.00668939, 6, 101.005, 0, 0
7, 0.0524987, 0.0524987, 0.0458838, 0.00524987, 0.0524987, 0.0167996, 0.890377, 0.0143846, 0.0682482, 7, 0.818843, 0.805718, 0.00458838, 0.460749, 0.281729, 0.0171356, 0.222594, 0.348066, 0.00682482, 7, 117.739, 0, 0
8, 0.0533854, 0.0533854, 0.0466587, 0.00533853, 0.0533853, 0.0170832, 0.905412, 0.0146275, 0.0694005, 8, 0.832673, 0.819327, 0.00466587, 0.468531, 0.286487, 0.0174249, 0.226353, 0.353944, 0.00694005, 8, 134.256, 0, 0
9, 0.0541475, 0.0541474, 0.0473248, 0.00541474, 0.0541474, 0.0173271, 0.918338, 0.0148364, 0.0703913, 9, 0.84456, 0.831023, 0.00473248, 0.475219, 0.290576, 0.0176736, 0.229584, 0.358997, 0.00703913, 9, 150.615, 0, 0
10, 0.0548088, 0.0548087, 0.0479028, 0.00548087, 0.0548087, 0.0175387, 0.929554, 0.0150176, 0.0712511, 10, 0.854874, 0.841172, 0.00479028, 0.481023, 0.294125, 0.0178895, 0.232389, 0.363381, 0.00712511, 10, 166.855, 0, 0
11, 0.0553877, 0.0553877, 0.0484088, 0.00553877, 0.0553877, 0.017724, 0.939374, 0.0151762, 0.0720038, 11, 0.863904, 0.850057, 0.00484088, 0.486104, 0.297232, 0.0180785, 0.234843, 0.36722, 0.00720038, 11, 183.003, 0, 0
12, 0.0558987, 0.0558987, 0.0488554, 0.00558987, 0.0558987, 0.0178875, 0.948041, 0.0153162, 0.0726681, 12, 0.871874, 0.8579, 0.00488554, 0.490589, 0.299975, 0.0182453, 0.23701, 0.370608, 0.00726681, 12, 199.077, 0, 0
13, 0.056353, 0.0563529, 0.0492525, 0.00563529, 0.0563529, 0.0180329, 0.955745, 0.0154407, 0.0732587, 13, 0.87896, 0.864871, 0.00492525, 0.494576, 0.302412, 0.0183936, 0.238936, 0.37362, 0.00732587, 13, 215.091, 0, 0
14, 0.0567594, 0.0567594, 0.0496077, 0.00567594, 0.0567594, 0.018163, 0.962639, 0.0155521, 0.0737871, 14, 0.885299, 0.871109, 0.00496077, 0.498143, 0.304594, 0.0185263, 0.24066, 0.376315, 0.00737871, 14, 231.058, 0, 0
15, 0.0571253, 0.0571253, 0.0499275, 0.00571252, 0.0571252, 0.0182801, 0.968844, 0.0156523, 0.0742627, 15, 0.891006, 0.876724, 0.00499275, 0.501354, 0.306557, 0.0186457, 0.242211, 0.37874, 0.00742627, 15, 246.983, 0, 0
16, 0.0574563, 0.0574563, 0.0502168, 0.00574563, 0.0574563, 0.018386, 0.974458, 0.015743, 0.0746931, 16, 0.896169, 0.881804, 0.00502168, 0.504259, 0.308333, 0.0187537, 0.243614, 0.380935, 0.00746931, 16, 262.875, 0, 0
17, 0.0577572, 0.0577572, 0.0504798, 0.00577572, 0.0577572, 0.0184823, 0.979562, 0.0158255, 0.0750843, 17, 0.900863, 0.886423, 0.00504798, 0.5069, 0.309948, 0.0188519, 0.244891, 0.38293, 0.00750843, 17, 278.738, 0, 0
18, 0.058032, 0.058032, 0.05072, 0.0058032, 0.058032, 0.0185702, 0.984223, 0.0159008, 0.0754416, 18, 0.905149, 0.890641, 0.005072, 0.509312, 0.311423, 0.0189416, 0.246056, 0.384752, 0.00754416, 18, 294.576, 0, 0
19, 0.058284, 0.058284, 0.0509402, 0.0058284, 0.058284, 0.0186509, 0.988496, 0.0159698, 0.0757691, 19, 0.909079, 0.894508, 0.00509402, 0.511523, 0.312775, 0.0190239, 0.247124, 0.386423, 0.00757691, 19, 310.393, 0, 0
