$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wSendStatic
1, 0.000984642, 0.000984642, 0.000860577, 9.84642e-05, 0.000984642, 0.000315085, 0.0166995, 0.000269792, 0.00128003, 1, 0.0153579, 0.0151117, 8.60577e-05, 0.00864161, 0.00528398, 0.000321387, 0.00417488, 0.00652818, 0.000128003, 1, 0, 0, 0
2, 0.00196784, 0.00196784, 0.00171989, 0.000196784, 0.00196784, 0.00062971, 0.0333746, 0.000539189, 0.0025582, 2, 0.0306932, 0.0302013, 0.000171989, 0.0172706, 0.0105602, 0.000642304, 0.00834365, 0.0130468, 0.00025582, 2, 0.744022, 0, 0
3, 0.00294954, 0.00294954, 0.0025779, 0.000294954, 0.00294954, 0.000943853, 0.0500242, 0.000808174, 0.0038344, 3, 0.0460052, 0.0452678, 0.00025779, 0.0258863, 0.0158284, 0.00096273, 0.012506, 0.0195554, 0.00038344, 3, 1.51046, 0, 0
4, 0.00392967, 0.00392967, 0.00343453, 0.000392967, 0.00392967, 0.00125749, 0.0666472, 0.00107673, 0.00510857, 4, 0.0612926, 0.0603102, 0.000343453, 0.0344883, 0.0210882, 0.00128264, 0.0166618, 0.0260537, 0.000510857, 4, 2.29995, 0, 0
5, 0.00490817, 0.00490816, 0.00428974, 0.000490816, 0.00490816, 0.00157061, 0.0832425, 0.00134484, 0.00638061, 5, 0.0765546, 0.0753276, 0.000428974, 0.043076, 0.0263392, 0.00160202, 0.0208106, 0.0325411, 0.000638061, 5, 3.11325, 0, 0
6, 0.00588496, 0.00588496, 0.00514345, 0.000588496, 0.00588496, 0.00188319, 0.0998088, 0.00161248, 0.00765044, 6, 0.09179, 0.0903188, 0.000514345, 0.0516487, 0.031581, 0.00192085, 0.0249522, 0.0390172, 0.000765044, 6, 3.95118, 0, 0
7, 0.00685997, 0.00685997, 0.00599561, 0.000685997, 0.00685997, 0.00219519, 0.116345, 0.00187963, 0.00891796, 7, 0.106998, 0.105283, 0.000599561, 0.0602058, 0.0368133, 0.00223909, 0.0290863, 0.0454816, 0.000891796, 7, 4.81464, 0, 0
8, 0.00783314, 0.00783314, 0.00684616, 0.000783314, 0.00783314, 0.0025066, 0.13285, 0.00214628, 0.0101831, 8, 0.122177, 0.120218, 0.000684616, 0.0687467, 0.0420357, 0.00255674, 0.0332125, 0.0519337, 0.00101831, 8, 5.70452, 0, 0
9, 0.00880437, 0.00880437, 0.00769502, 0.000880437, 0.00880437, 0.0028174, 0.149322, 0.0024124, 0.0114457, 9, 0.137325, 0.135124, 0.000769502, 0.0772707, 0.0472478, 0.00287375, 0.0373305, 0.058373, 0.00114457, 9, 6.62194, 0, 0
10, 0.00977359, 0.00977359, 0.00854211, 0.000977359, 0.00977359, 0.00312755, 0.16576, 0.00267796, 0.0127057, 10, 0.152443, 0.149999, 0.000854211, 0.0857769, 0.052449, 0.0031901, 0.04144, 0.0647989, 0.00127057, 10, 7.56799, 0, 0
11, 0.0107407, 0.0107407, 0.00938737, 0.00107407, 0.0107407, 0.00343702, 0.182162, 0.00294295, 0.0139629, 11, 0.167527, 0.164842, 0.000938737, 0.0942647, 0.0576389, 0.00350576, 0.0455405, 0.0712108, 0.00139629, 11, 8.54383, 0, 0
12, 0.0117056, 0.0117056, 0.0102307, 0.00117056, 0.0117056, 0.00374579, 0.198527, 0.00320734, 0.0152173, 12, 0.182577, 0.179651, 0.00102307, 0.102733, 0.062817, 0.00382071, 0.0496318, 0.0776082, 0.00152173, 12, 9.55071, 0, 0
13, 0.0126683, 0.0126683, 0.0110721, 0.00126683, 0.0126683, 0.00405384, 0.214853, 0.0034711, 0.0164687, 13, 0.197592, 0.194425, 0.00110721, 0.111182, 0.0679829, 0.00413492, 0.0537134, 0.0839905, 0.00164687, 13, 10.5899, 0, 0
14, 0.0136285, 0.0136285, 0.0119113, 0.00136285, 0.0136285, 0.00436111, 0.231139, 0.0037342, 0.017717, 14, 0.212569, 0.209162, 0.00119113, 0.119609, 0.0731359, 0.00444833, 0.0577847, 0.0903568, 0.0017717, 14, 11.6628, 0, 0
15, 0.0145862, 0.0145862, 0.0127483, 0.00145862, 0.0145862, 0.00466758, 0.247382, 0.00399662, 0.0189621, 15, 0.227507, 0.22386, 0.00127483, 0.128014, 0.0782754, 0.00476094, 0.0618455, 0.0967065, 0.00189621, 15, 12.7709, 0, 0
16, 0.0155406, 0.0155406, 0.0135825, 0.00155406, 0.0155406, 0.00497298, 0.263568, 0.00425811, 0.0202027, 16, 0.242392, 0.238507, 0.00135825, 0.13639, 0.0833969, 0.00507244, 0.065892, 0.103034, 0.00202027, 16, 13.966, 0, 0
17, 0.0164927, 0.0164927, 0.0144147, 0.00164927, 0.0164927, 0.00527767, 0.279717, 0.00451901, 0.0214405, 17, 0.257244, 0.253121, 0.00144147, 0.144747, 0.0885066, 0.00538323, 0.0699292, 0.109347, 0.00214405, 17, 15.159, 0, 0
18, 0.017442, 0.017442, 0.0152443, 0.0017442, 0.017442, 0.00558144, 0.295817, 0.00477911, 0.0226746, 18, 0.27205, 0.26769, 0.00152443, 0.153078, 0.0936008, 0.00569307, 0.0739541, 0.115641, 0.00226746, 18, 16.3932, 0, 0
19, 0.0183883, 0.0183883, 0.0160713, 0.00183883, 0.0183883, 0.00588424, 0.311865, 0.00503838, 0.0239047, 19, 0.286809, 0.282212, 0.00160713, 0.161383, 0.0986788, 0.00600193, 0.0779662, 0.121914, 0.00239047, 19, 17.6704, 0, 0
20, 0.0193302, 0.0193513, 0.016857, 0.00193564, 0.0192808, 0.00619758, 0.327225, 0.00530428, 0.0251684, 20, 0.301691, 0.301008, 0.0016857, 0.169905, 0.103693, 0.0063228, 0.0818634, 0.128348, 0.00251684, 20, 19.0447, 0, 0.000209335
21, 0.0202612, 0.0203444, 0.0177848, 0.00203423, 0.0203508, 0.00650468, 0.34506, 0.00557076, 0.0264171, 21, 0.317048, 0.312355, 0.00177848, 0.178541, 0.109398, 0.00663877, 0.0864181, 0.134796, 0.00264171, 21, 20.8182, 0.0229708, 0
