$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wSendStatic
1, 0.0641132, 0.0641132, 0.056035, 0.00641132, 0.0641132, 0.0205162, 1.08736, 0.017567, 0.0833472, 1, 1, 0.983972, 0.0056035, 0.562684, 0.344057, 0.0209266, 0.27184, 0.425071, 0.00833472, 1, 0, 0, 0
2, 0.0398625, 0.0413081, 0.0344496, 0.00413553, 0.0392844, 0.013285, 0.673256, 0.0112881, 0.0533891, 2, 1.93726, 0.928894, 0.00344496, 0.401179, 0.420626, 0.0161672, 0.258998, 0.27314, 0.00533891, 2, 1.57394, 25.3437, 0
3, 0.0395342, 0.0379092, 0.0349714, 0.00378696, 0.0401853, 0.012068, 0.673754, 0.010421, 0.049618, 3, 3.11559, 0.855697, 0.00349714, 0.375804, 0.475081, 0.0153895, 0.276587, 0.252157, 0.0049618, 3, 0, 55.8663, 0.00388059
4, 0.037596, 0.0394117, 0.032527, 0.00394504, 0.0370682, 0.0126655, 0.636019, 0.0107554, 0.0508217, 4, 3.83426, 0.97863, 0.0032527, 0.395356, 0.462596, 0.0165813, 0.271445, 0.260249, 0.00508217, 4, 4.40853, 75.9094, 0
5, 0.0374014, 0.0393543, 0.0323871, 0.00393889, 0.0369034, 0.012643, 0.633398, 0.0107344, 0.0507077, 5, 4.77678, 0.994694, 0.00323871, 0.397078, 0.472235, 0.0168076, 0.274738, 0.259742, 0.00507077, 5, 5.96812, 100.987, 0
6, 0.0391435, 0.0371049, 0.0345386, 0.00370775, 0.0397126, 0.0118205, 0.665086, 0.0102141, 0.0486748, 6, 6.2966, 0.882807, 0.00345386, 0.375331, 0.511264, 0.015873, 0.288676, 0.247153, 0.00486748, 6, 0, 137.095, 0.00426545
7, 0.0372389, 0.0393853, 0.0322923, 0.00394132, 0.0367892, 0.0126464, 0.631672, 0.0107354, 0.0506915, 7, 6.65673, 1.01594, 0.00322923, 0.400029, 0.484185, 0.0171154, 0.278914, 0.259765, 0.00506915, 7, 9.21797, 151.104, 0
8, 0.0371708, 0.0369847, 0.0324068, 0.00369902, 0.0370701, 0.0118823, 0.630522, 0.0101442, 0.0481711, 8, 8.03613, 0.95835, 0.00324068, 0.375728, 0.483124, 0.0160209, 0.275783, 0.24546, 0.00481711, 8, 0, 189.566, 0.00104683
9, 0.0371714, 0.0372321, 0.0325305, 0.00372397, 0.0372204, 0.0119105, 0.631045, 0.010202, 0.048398, 9, 8.98681, 0.964551, 0.00325305, 0.378188, 0.488577, 0.0161488, 0.27773, 0.246859, 0.0048398, 9, 0.354803, 214.982, 0
10, 0.0372052, 0.0397308, 0.0323951, 0.0039749, 0.0369119, 0.0126917, 0.631763, 0.0108105, 0.0509827, 10, 9.42801, 1.03609, 0.00323951, 0.404845, 0.49645, 0.0174365, 0.283233, 0.261583, 0.00509827, 10, 15.374, 224.749, 0
