$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wSendStatic
1, 0.0641132, 0.0641132, 0.056035, 0.00641132, 0.0641132, 0.0205162, 1.08736, 0.017567, 0.0833472, 1, 1, 0.983972, 0.0056035, 0.562684, 0.344057, 0.0209266, 0.27184, 0.425071, 0.00833472, 1, 0, 0, 0
2, 0.0593158, 0.0593161, 0.0518421, 0.00593161, 0.0593158, 0.018981, 1.00599, 0.0162526, 0.0771108, 2, 1.99999, 1.95421, 0.00518421, 0.635528, 0.749264, 0.0250632, 0.432251, 0.393265, 0.00771108, 2, 0, 0, 0
3, 0.0632669, 0.0632671, 0.0552957, 0.00632671, 0.0632674, 0.0202456, 1.07302, 0.0173352, 0.0822474, 3, 2.99999, 2.93329, 0.00552957, 0.744762, 0.948878, 0.0299653, 0.515375, 0.419462, 0.00822474, 3, 0, 0, 0
4, 0.0639807, 0.063981, 0.055789, 0.0063981, 0.063981, 0.0198218, 1.05055, 0.0175308, 0.0831753, 4, 3.99999, 3.92368, 0.0055789, 0.822312, 1.0329, 0.0308907, 0.532401, 0.424194, 0.00831753, 4, 0, 0, 0
5, 0.0635046, 0.0635048, 0.0552712, 0.00635048, 0.0635048, 0.0191612, 1.01554, 0.0174003, 0.0825563, 5, 4.99999, 4.91995, 0.00552712, 0.877726, 1.06056, 0.0305931, 0.52861, 0.421037, 0.00825563, 5, 0, 0, 0
6, 0.0628897, 0.0628894, 0.0547086, 0.00628894, 0.0628895, 0.0188404, 0.99854, 0.0172317, 0.0817563, 6, 6.00002, 5.91807, 0.00547086, 0.923214, 1.06817, 0.0305217, 0.526658, 0.416957, 0.00817563, 6, 0, 0, 0
7, 0.0623067, 0.0623066, 0.0542028, 0.00623065, 0.0623066, 0.018672, 0.989617, 0.017072, 0.0809986, 7, 7.00001, 6.91707, 0.00542028, 0.959792, 1.06781, 0.0305388, 0.525528, 0.413093, 0.00809986, 7, 0, 0, 0
8, 0.0617832, 0.061783, 0.0537607, 0.00617831, 0.061783, 0.0185823, 0.984863, 0.0169285, 0.0803179, 8, 8.00002, 7.91654, 0.00537607, 0.986883, 1.06394, 0.0305935, 0.524816, 0.409621, 0.00803179, 8, 0, 0, 0
9, 0.0613982, 0.0613984, 0.0534284, 0.00613984, 0.0613692, 0.0184791, 0.983357, 0.0167433, 0.0794389, 9, 8.99998, 8.91625, 0.00534284, 1.00477, 1.05818, 0.0305561, 0.524424, 0.405138, 0.00794389, 9, 0, 0, 0
10, 0.0611468, 0.0611467, 0.0531972, 0.00611467, 0.0610587, 0.0183418, 0.984168, 0.016513, 0.0783466, 10, 10, 9.91607, 0.00531972, 1.0146, 1.05144, 0.030411, 0.524259, 0.399567, 0.00783466, 10, 0, 0, 0
11, 0.0608641, 0.0608643, 0.0529564, 0.00608643, 0.0607511, 0.0182817, 0.984521, 0.0163666, 0.0776519, 11, 11, 10.916, 0.00529564, 1.01895, 1.04554, 0.0303845, 0.524077, 0.396025, 0.00776519, 11, 0, 0, 0
12, 0.060581, 0.0605808, 0.0527233, 0.00605808, 0.0604602, 0.018264, 0.984692, 0.0162686, 0.0771868, 12, 12, 11.916, 0.00527233, 1.02032, 1.04029, 0.0304193, 0.523897, 0.393653, 0.00771868, 12, 0, 0, 0
13, 0.0603268, 0.0603269, 0.0525178, 0.00603269, 0.0602077, 0.0182648, 0.984606, 0.0162029, 0.076875, 13, 13, 12.916, 0.00525178, 1.02016, 1.03604, 0.030479, 0.523721, 0.392063, 0.0076875, 13, 0, 0, 0
14, 0.0601056, 0.0601055, 0.0523398, 0.00601055, 0.0599905, 0.018272, 0.984444, 0.016154, 0.0766429, 14, 14, 13.916, 0.00523398, 1.0195, 1.03251, 0.0305428, 0.523559, 0.390879, 0.00766429, 14, 0, 0, 0
15, 0.0599127, 0.0599126, 0.0521857, 0.00599126, 0.0598034, 0.0182822, 0.984233, 0.0161168, 0.0764667, 15, 15, 14.9159, 0.00521857, 1.01857, 1.02956, 0.0306063, 0.523411, 0.38998, 0.00764667, 15, 0, 0, 0
16, 0.0597454, 0.0597453, 0.0520523, 0.00597452, 0.0596422, 0.0182932, 0.983993, 0.0160877, 0.0763285, 16, 16, 15.9159, 0.00520523, 1.01756, 1.02708, 0.0306664, 0.523276, 0.389275, 0.00763285, 16, 0, 0, 0
17, 0.0595999, 0.0596, 0.0519367, 0.00596, 0.0595029, 0.0183036, 0.983738, 0.0160643, 0.0762174, 17, 17, 16.9159, 0.00519367, 1.01657, 1.025, 0.0307216, 0.523152, 0.388709, 0.00762174, 17, 0, 0, 0
18, 0.0594681, 0.0594682, 0.0518325, 0.00594682, 0.0593781, 0.0183165, 0.98345, 0.0160475, 0.0761378, 18, 18, 17.9158, 0.00518325, 1.01538, 1.02321, 0.0307778, 0.523036, 0.388303, 0.00761378, 18, 0, 0, 0
19, 0.0593585, 0.0593585, 0.0517453, 0.00593585, 0.0592734, 0.0183244, 0.98319, 0.016031, 0.0760596, 19, 19, 18.9158, 0.00517453, 1.01455, 1.02172, 0.0308222, 0.522933, 0.387904, 0.00760596, 19, 0, 0, 0
20, 0.059262, 0.0592621, 0.0516686, 0.00592621, 0.0591815, 0.0183314, 0.98293, 0.0160172, 0.0759938, 20, 20, 19.9158, 0.00516686, 1.01378, 1.02044, 0.0308625, 0.522839, 0.387568, 0.00759938, 20, 0, 0, 0
21, 0.0591768, 0.0591769, 0.0516008, 0.00591769, 0.0591005, 0.0183376, 0.982673, 0.0160054, 0.0759379, 21, 21, 20.9157, 0.00516008, 1.01306, 1.01935, 0.030899, 0.522751, 0.387283, 0.00759379, 21, 0, 0, 0
22, 0.0591013, 0.0591012, 0.0515406, 0.00591012, 0.0590288, 0.018343, 0.982418, 0.0159953, 0.07589, 22, 22, 21.9157, 0.00515406, 1.01241, 1.01841, 0.0309322, 0.52267, 0.387039, 0.007589, 22, 0, 0, 0
