$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wSendStatic
1, 0.0641132, 0.0641132, 0.056035, 0.00641132, 0.0641132, 0.0205162, 1.08736, 0.017567, 0.0833472, 1, 1, 0.983972, 0.0056035, 0.562684, 0.344057, 0.0209266, 0.27184, 0.425071, 0.00833472, 1, 0, 0, 0
2, 0.0673198, 0.0673194, 0.058837, 0.00673193, 0.0673192, 0.0215422, 1.14174, 0.0184455, 0.0875151, 2, 2.00001, 1.94171, 0.0058837, 0.822239, 1.10532, 0.0296055, 0.509759, 0.446327, 0.00875151, 2, 0, 0, 0.122375
3, 0.0750288, 0.0750283, 0.0655748, 0.00750282, 0.0750283, 0.0240091, 1.27248, 0.0205578, 0.0975368, 3, 3.00002, 2.9034, 0.00655748, 1.10321, 1.83572, 0.038728, 0.655945, 0.497438, 0.00975368, 3, 0, 0, 0.302469
4, 0.0814408, 0.0814403, 0.0711788, 0.00814402, 0.0814403, 0.0260609, 1.38123, 0.0223146, 0.105872, 4, 4.00002, 3.86734, 0.00711788, 1.37584, 2.58266, 0.0470373, 0.756946, 0.539949, 0.0105872, 4, 0, 0, 0.511263
5, 0.0869038, 0.0869038, 0.0759541, 0.00869038, 0.086904, 0.0278093, 1.47389, 0.0238117, 0.112975, 5, 5, 4.83302, 0.00759541, 1.64379, 3.34105, 0.0547212, 0.826961, 0.576173, 0.0112975, 5, 0, 0, 0.734587
6, 0.0913458, 0.0913461, 0.0798366, 0.00913461, 0.0913462, 0.0292307, 1.54923, 0.0250288, 0.11875, 6, 5.99998, 5.8015, 0.00798366, 1.90337, 4.11848, 0.0615877, 0.878407, 0.605625, 0.011875, 6, 0, 0, 0.981107
7, 0.0950072, 0.0950075, 0.0830366, 0.00950075, 0.0950076, 0.0304024, 1.61133, 0.0260321, 0.12351, 7, 6.99998, 6.77282, 0.00830366, 2.15509, 4.91421, 0.0676949, 0.915491, 0.6299, 0.012351, 7, 0, 0, 1.2505
8, 0.0978905, 0.0978907, 0.0855563, 0.00978906, 0.0978905, 0.031325, 1.66022, 0.026822, 0.127258, 8, 7.99999, 7.74784, 0.00855563, 2.39677, 5.73309, 0.0729052, 0.942248, 0.649015, 0.0127258, 8, 0, 0, 1.5519
9, 0.100026, 0.100026, 0.0874226, 0.0100026, 0.100026, 0.0320083, 1.69644, 0.0274071, 0.130034, 9, 9.00002, 8.72715, 0.00874226, 2.6248, 6.58102, 0.0771226, 0.961261, 0.663172, 0.0130034, 9, 0, 0, 1.89459
10, 0.101527, 0.101527, 0.0887346, 0.0101527, 0.101527, 0.0324887, 1.7219, 0.0278184, 0.131985, 10, 10, 9.71076, 0.00887346, 2.83773, 7.45952, 0.0803911, 0.974285, 0.673124, 0.0131985, 10, 0, 0, 2.28091
11, 0.102539, 0.102539, 0.0896189, 0.0102539, 0.102539, 0.0328124, 1.73906, 0.0280956, 0.1333, 11, 11, 10.6982, 0.00896189, 3.03994, 8.3618, 0.0828518, 0.982849, 0.679832, 0.01333, 11, 0, 0, 2.7048
12, 0.103213, 0.103213, 0.0902084, 0.0103213, 0.103213, 0.0330282, 1.7505, 0.0282804, 0.134177, 12, 12, 11.6885, 0.00902084, 3.23168, 9.28492, 0.0847042, 0.988399, 0.684304, 0.0134177, 12, 0, 0, 3.15954
13, 0.103665, 0.103665, 0.090603, 0.0103665, 0.103665, 0.0331728, 1.75816, 0.0284042, 0.134764, 13, 13, 12.6809, 0.0090603, 3.4161, 10.2229, 0.0861189, 0.991987, 0.687298, 0.0134764, 13, 0, 0, 3.63694
14, 0.103974, 0.103973, 0.0908727, 0.0103973, 0.103973, 0.0332715, 1.76339, 0.0284887, 0.135165, 14, 14, 13.6749, 0.00908727, 3.59517, 11.1717, 0.0872263, 0.994336, 0.689343, 0.0135165, 14, 0, 0, 4.1307
15, 0.104191, 0.104191, 0.0910628, 0.0104191, 0.104191, 0.0333411, 1.76708, 0.0285483, 0.135448, 15, 15, 14.67, 0.00910628, 3.76769, 12.1314, 0.0881184, 0.995912, 0.690785, 0.0135448, 15, 0, 0, 4.63798
16, 0.104347, 0.104348, 0.0911997, 0.0104348, 0.104348, 0.0333912, 1.76973, 0.0285912, 0.135652, 16, 16, 15.6659, 0.00911997, 3.93942, 13.0945, 0.0888528, 0.99698, 0.691824, 0.0135652, 16, 0, 0, 5.15259
17, 0.104464, 0.104464, 0.0913017, 0.0104464, 0.104464, 0.0334285, 1.77171, 0.0286232, 0.135804, 17, 17, 16.6624, 0.00913017, 4.10886, 14.062, 0.0894718, 0.997724, 0.692598, 0.0135804, 17, 0, 0, 5.67374
18, 0.104554, 0.104554, 0.0913799, 0.0104554, 0.104554, 0.0334572, 1.77323, 0.0286477, 0.13592, 18, 18, 17.6593, 0.00913799, 4.27648, 15.0331, 0.0900031, 0.998254, 0.693191, 0.013592, 18, 0, 0, 6.19992
19, 0.104624, 0.104624, 0.0914414, 0.0104624, 0.104624, 0.0334797, 1.77442, 0.028667, 0.136011, 19, 19, 18.6566, 0.00914414, 4.44262, 16.007, 0.090466, 0.998639, 0.693657, 0.0136011, 19, 0, 0, 6.73006
20, 0.104681, 0.104681, 0.0914909, 0.0104681, 0.104681, 0.0334978, 1.77538, 0.0286825, 0.136085, 20, 20, 19.6543, 0.00914909, 4.60754, 16.9833, 0.0908745, 0.998924, 0.694033, 0.0136085, 20, 0, 0, 7.26341
21, 0.104727, 0.104727, 0.0915316, 0.0104727, 0.104727, 0.0335127, 1.77618, 0.0286953, 0.136145, 21, 21, 20.6521, 0.00915316, 4.77141, 17.9615, 0.0912385, 0.999138, 0.694342, 0.0136145, 21, 0, 0, 7.79937
22, 0.104767, 0.104766, 0.091566, 0.0104767, 0.104767, 0.0335249, 1.77684, 0.0287058, 0.136196, 22, 22.0001, 21.65, 0.0091566, 4.93604, 18.9397, 0.091565, 0.999302, 0.694596, 0.0136196, 22, 0, 0, 8.33654
23, 0.104799, 0.104799, 0.0915947, 0.0104799, 0.104799, 0.0335358, 1.7774, 0.028715, 0.136239, 23, 23, 22.6484, 0.00915947, 5.09989, 19.9189, 0.091862, 0.999428, 0.69482, 0.0136239, 23, 0, 0, 8.87538
24, 0.104828, 0.104828, 0.0916197, 0.0104828, 0.104828, 0.033545, 1.77788, 0.0287229, 0.136276, 24, 24, 23.6469, 0.00916197, 5.26164, 20.9012, 0.0921321, 0.999527, 0.69501, 0.0136276, 24, 0, 0, 9.41685
25, 0.104853, 0.104853, 0.0916416, 0.0104853, 0.104853, 0.0335529, 1.77831, 0.0287297, 0.136309, 25, 25, 24.6454, 0.00916416, 5.42275, 21.8847, 0.0923795, 0.999606, 0.695176, 0.0136309, 25, 0, 0, 9.95969
26, 0.104875, 0.104875, 0.0916609, 0.0104875, 0.104875, 0.03356, 1.77868, 0.0287358, 0.136338, 26, 26, 25.6441, 0.00916609, 5.5789, 22.8743, 0.0926074, 0.999669, 0.695322, 0.0136338, 26, 0, 0, 10.5067
27, 0.104895, 0.104895, 0.0916779, 0.0104895, 0.104895, 0.0335663, 1.77901, 0.0287411, 0.136363, 27, 27, 26.6428, 0.00916779, 5.73859, 23.8601, 0.0928177, 0.99972, 0.695452, 0.0136363, 27, 0, 0, 11.052
28, 0.104912, 0.104912, 0.0916933, 0.0104912, 0.104912, 0.033572, 1.77931, 0.028746, 0.136386, 28, 28, 27.6416, 0.00916933, 5.89781, 24.8467, 0.0930127, 0.999761, 0.695569, 0.0136386, 28, 0, 0, 11.5984
